Cluster, Group,Age,Expected Course Duration,Interest,Qualification,Course ID,Gender
1,15-25,25,14,2,3,16,0
2,15-25,25,8,4,2,3,0
2,25-35,35,7,4,4,29,1
3,15-25,25,7,5,3,29,0
3,15-25,25,12,4,3,8,1
2,45-55,55,10,4,4,38,1
3,15-25,25,7,4,3,29,0
3,15-25,25,10,4,3,38,0
1,15-25,25,7,4,3,30,0
1,15-25,25,7,4,3,30,1
3,15-25,25,8,5,3,11,0
2,15-25,25,9,5,1,22,1
2,35-45,45,12,4,4,8,0
3,15-25,25,10,5,3,38,1
3,15-25,25,14,4,3,16,1
1,15-25,25,10,4,3,38,0
1,15-25,25,8,4,3,12,0
3,15-25,25,7,4,4,29,0
3,15-25,25,10,4,3,38,1
3,15-25,25,7,4,3,30,1
1,<15,15,14,5,0,16,2
3,15-25,25,7,4,3,29,0
2,35-45,45,8,4,4,11,0
3,15-25,25,6,3,3,2,0
2,35-45,45,8,5,3,3,0
2,35-45,45,9,5,4,22,0
2,35-45,45,10,5,4,14,0
3,25-35,35,7,4,3,29,0
1,15-25,25,6,3,3,10,0
3,45-55,55,9,4,3,17,0
1,15-25,25,8,4,3,11,1
2,25-35,35,8,4,3,3,0
3,45-55,55,7,5,3,30,0
3,15-25,25,10,4,4,38,0
3,45-55,55,7,4,3,29,0
3,15-25,25,7,4,3,30,0
3,15-25,25,8,4,3,12,1
1,15-25,25,10,4,3,38,0
2,35-45,45,6,3,4,20,1
3,45-55,55,10,4,5,41,0
2,25-35,35,7,5,4,29,0
3,15-25,25,8,4,4,32,1
2,15-25,25,7,5,4,30,1
2,25-35,35,8,5,3,52,1
3,<15,15,7,3,1,49,0
3,15-25,25,14,4,3,16,1
2,45-55,55,10,2,4,41,1
1,15-25,25,9,3,3,22,1
3,25-35,35,6,2,4,10,0
3,15-25,25,8,3,3,13,0
3,25-35,35,6,4,5,20,0
3,15-25,25,9,2,3,17,1
3,35-45,45,8,3,3,33,0
3,15-25,25,5,4,3,31,1
2,15-25,25,8,3,4,32,1
3,15-25,25,8,5,3,3,1
2,15-25,25,12,3,4,55,1
3,15-25,25,17,4,3,28,1
3,25-35,35,6,2,3,20,0
1,15-25,25,10,2,3,43,1
3,15-25,25,8,4,4,12,0
1,15-25,25,8,4,3,12,1
2,15-25,25,8,3,4,3,0
3,15-25,25,6,4,2,2,0
3,15-25,25,8,3,2,3,0
1,25-35,35,9,1,4,17,0
2,15-25,25,8,4,2,11,1
3,15-25,25,7,5,3,30,0
3,15-25,25,7,3,3,29,1
3,15-25,25,10,4,2,38,0
3,25-35,35,7,4,3,30,0
2,35-45,45,15,5,3,46,0
3,25-35,35,8,4,3,11,0
3,25-35,35,7,5,4,29,1
2,45-55,55,8,4,4,19,0
2,35-45,45,6,5,4,20,0
2,35-45,45,8,3,4,11,0
2,35-45,45,8,3,4,3,1
3,15-25,25,7,4,3,29,0
2,25-35,35,8,5,4,3,0
2,35-45,45,8,4,4,3,0
3,15-25,25,14,4,3,16,1
1,15-25,25,7,3,3,29,0
1,25-35,35,5,3,3,50,0
2,35-45,45,8,4,4,3,1
3,45-55,55,9,4,5,26,1
1,15-25,25,9,4,3,22,0
2,45-55,55,8,4,4,12,0
1,35-45,45,8,4,3,12,0
3,15-25,25,12,4,3,8,1
2,35-45,45,8,4,3,32,1
1,25-35,35,7,3,3,49,0
2,45-55,55,8,4,4,12,0
3,25-35,35,8,4,3,3,0
3,15-25,25,8,3,3,32,1
2,35-45,45,10,5,3,38,0
2,25-35,35,7,5,4,30,0
2,15-25,25,9,4,1,6,1
3,15-25,25,14,4,3,16,1
2,25-35,35,10,4,3,38,0
3,15-25,25,14,5,3,16,0
1,15-25,25,8,5,3,40,0
2,25-35,35,8,5,3,3,1
2,35-45,45,8,5,4,3,0
1,15-25,25,8,4,3,40,1
2,35-45,45,10,4,4,23,0
2,45-55,55,10,4,4,43,1
1,15-25,25,14,4,3,16,1
3,15-25,25,6,4,3,37,1
3,45-55,55,7,3,3,29,1
3,15-25,25,10,4,4,23,0
1,15-25,25,7,2,3,30,1
3,15-25,25,6,4,4,2,1
1,35-45,45,7,3,3,49,0
3,15-25,25,6,3,3,15,0
1,15-25,25,7,2,2,29,0
2,45-55,55,14,5,4,16,0
2,35-45,45,9,3,4,35,1
2,45-55,55,6,2,4,34,0
2,35-45,45,10,5,4,38,1
3,15-25,25,14,4,3,16,1
2,25-35,35,8,5,4,3,0
2,45-55,55,17,3,4,28,0
2,35-45,45,10,4,4,38,0
2,25-35,35,7,4,4,29,1
2,45-55,55,6,4,4,20,0
2,45-55,55,8,3,4,3,0
1,15-25,25,10,4,2,38,1
1,15-25,25,8,5,3,52,0
3,15-25,25,9,5,2,17,1
3,15-25,25,7,4,2,29,1
2,15-25,25,8,4,2,11,0
3,15-25,25,6,3,3,10,0
2,25-35,35,6,5,4,20,0
3,25-35,35,7,5,3,29,1
1,15-25,25,14,3,3,16,1
3,15-25,25,10,4,3,38,1
3,15-25,25,7,5,3,30,1
1,15-25,25,10,4,3,38,1
2,15-25,25,8,5,3,3,1
3,15-25,25,14,4,3,16,1
3,15-25,25,12,4,3,8,0
1,15-25,25,7,4,3,27,1
3,15-25,25,7,4,3,29,0
1,15-25,25,10,5,3,38,0
2,15-25,25,12,4,2,54,0
3,15-25,25,9,3,2,17,0
1,15-25,25,6,5,3,2,0
2,35-45,45,6,5,4,57,0
3,15-25,25,10,5,3,38,0
1,15-25,25,7,3,3,30,0
1,15-25,25,10,4,3,38,0
1,15-25,25,7,5,3,30,1
2,25-35,35,8,4,4,3,0
1,15-25,25,7,5,3,30,0
1,15-25,25,10,3,3,38,0
3,25-35,35,7,5,3,30,0
3,15-25,25,7,5,3,30,0
1,15-25,25,7,3,3,30,0
1,15-25,25,6,3,3,10,1
3,25-35,35,10,5,3,38,0
1,15-25,25,10,5,3,38,1
2,45-55,55,14,5,4,16,0
2,15-25,25,7,4,4,30,1
1,25-35,35,7,5,3,30,0
1,25-35,35,6,5,2,15,0
3,15-25,25,7,3,2,29,1
3,15-25,25,7,4,3,29,0
2,15-25,25,9,5,2,39,0
1,15-25,25,8,5,3,11,1
1,35-45,45,7,5,3,30,1
3,15-25,25,7,3,3,29,0
1,15-25,25,14,3,3,16,1
3,15-25,25,7,3,3,29,0
3,15-25,25,10,5,3,38,1
3,15-25,25,7,5,3,29,1
3,15-25,25,7,5,3,49,1
1,25-35,35,10,3,4,38,0
2,35-45,45,8,3,4,12,1
2,25-35,35,8,4,4,3,0
3,15-25,25,7,4,3,49,0
2,15-25,25,7,3,4,29,1
1,15-25,25,7,3,3,30,1
2,25-35,35,6,4,4,34,1
1,15-25,25,7,3,3,30,0
3,15-25,25,8,4,3,11,1
2,35-45,45,6,3,4,10,0
1,15-25,25,12,3,3,8,0
2,35-45,45,8,4,4,3,1
3,15-25,25,14,4,2,16,1
2,25-35,35,12,4,4,8,0
2,35-45,45,6,3,4,20,0
1,25-35,35,6,2,3,20,1
3,15-25,25,8,3,3,3,1
3,<15,15,7,4,0,29,0
1,15-25,25,7,4,2,30,0
1,15-25,25,8,2,3,33,1
3,45-55,55,8,4,5,40,1
3,45-55,55,6,5,5,2,0
3,45-55,55,8,3,5,33,0
3,25-35,35,10,5,3,38,1
1,15-25,25,7,3,3,49,1
3,25-35,35,6,4,3,20,1
3,15-25,25,7,4,2,30,0
2,35-45,45,10,5,4,9,1
2,45-55,55,8,3,4,12,0
3,15-25,25,7,4,3,29,0
3,15-25,25,10,5,3,38,0
1,25-35,35,6,2,4,2,1
1,25-35,35,9,3,3,53,1
2,35-45,45,9,4,5,22,0
1,15-25,25,8,2,1,19,1
3,25-35,35,8,5,3,3,1
3,25-35,35,8,4,3,12,0
2,35-45,45,6,4,4,45,1
1,15-25,25,7,2,2,30,1
3,35-45,45,10,4,3,41,0
1,15-25,25,8,3,1,12,0
3,15-25,25,8,4,4,11,0
1,15-25,25,7,5,1,30,1
3,35-45,45,8,5,3,3,1
1,15-25,25,6,2,3,20,0
3,45-55,55,6,4,5,57,1
3,15-25,25,9,4,4,17,1
2,35-45,45,7,4,4,30,0
2,25-35,35,8,4,3,3,0
3,35-45,45,8,4,5,11,1
1,To,25,8,5,3,3,0
2,>55,65,12,5,5,8,2
2,To,25,8,4,3,3,0
3,25-35,35,7,5,3,49,0
3,15-25,25,7,4,3,30,0
3,15-25,25,8,5,3,11,0
1,15-25,25,7,3,3,30,1
3,15-25,25,7,4,3,29,1
3,35-45,45,7,3,3,29,1
2,35-45,45,8,4,4,3,1
1,15-25,25,8,4,3,32,0
3,15-25,25,6,4,3,15,1
1,15-25,25,7,3,3,30,1
3,15-25,25,6,5,3,15,0
1,25-35,35,9,5,3,17,1
3,15-25,25,9,4,3,53,0
2,15-25,25,8,4,3,3,1
2,15-25,25,8,4,4,3,1
2,35-45,45,8,5,4,11,0
1,15-25,25,9,5,3,17,1
3,15-25,25,8,4,3,12,0
1,15-25,25,7,5,3,30,1
2,35-45,45,8,4,4,11,0
2,45-55,55,12,4,4,8,1
1,15-25,25,7,5,3,30,1
2,15-25,25,8,3,2,47,0
2,<15,15,9,2,1,6,1
1,<15,15,6,1,2,10,1
3,<15,15,7,2,1,29,2
2,<15,15,9,4,1,6,2
2,<15,15,12,3,1,8,1
1,15-25,25,7,3,3,49,1
1,15-25,25,12,3,3,24,0
2,15-25,25,14,4,2,16,0
1,15-25,25,7,5,3,30,0
2,25-35,35,5,5,4,18,0
1,15-25,25,7,4,3,30,0
3,15-25,25,7,4,2,29,1
1,15-25,25,8,4,3,33,0
1,15-25,25,7,3,3,49,1
3,15-25,25,7,4,2,29,1
3,35-45,45,7,4,3,29,1
3,15-25,25,12,4,4,8,1
1,25-35,35,8,3,3,12,0
3,15-25,25,14,4,3,16,0
3,15-25,25,8,4,3,12,0
2,25-35,35,7,4,4,30,1
3,15-25,25,9,4,3,22,1
3,15-25,25,7,4,3,29,1
3,15-25,25,7,4,3,29,0
1,15-25,25,7,4,4,49,0
1,15-25,25,6,4,3,2,1
3,15-25,25,7,4,2,30,0
3,15-25,25,6,4,3,15,0
1,15-25,25,7,3,3,30,0
1,25-35,35,8,5,3,40,0
3,15-25,25,7,4,4,29,0
3,35-45,45,7,4,3,30,0
3,15-25,25,8,3,3,47,0
3,15-25,25,8,1,4,11,1
3,15-25,25,8,4,3,11,0
3,15-25,25,14,4,3,16,1
1,15-25,25,6,4,2,10,0
1,15-25,25,15,3,3,46,1
1,15-25,25,10,3,3,38,0
2,15-25,25,14,3,2,16,1
1,15-25,25,14,3,3,16,1
3,15-25,25,7,4,2,29,1
3,15-25,25,10,5,3,38,1
3,15-25,25,14,3,2,16,0
3,15-25,25,14,3,2,16,0
1,15-25,25,8,3,3,47,0
1,15-25,25,7,4,3,30,0
1,15-25,25,7,2,3,30,0
1,15-25,25,10,3,2,38,0
3,15-25,25,7,4,2,29,1
1,15-25,25,7,3,3,30,0
1,15-25,25,8,4,3,32,1
3,15-25,25,7,5,3,29,0
3,15-25,25,7,4,3,30,0
1,15-25,25,7,4,3,27,0
3,15-25,25,10,4,3,38,0
1,15-25,25,10,3,3,38,0
