Actual Course Duration, Group,Age,Expected Course Duration,Interest,Qualification,Course ID,Gender
1,15-25,25,8,4,2,3,0
1,25-35,35,7,4,4,29,1
52,15-25,25,7,5,3,29,0
12.85,15-25,25,12,4,3,8,1
1.428,45-55,55,10,4,4,38,1
1,15-25,25,7,4,3,29,0
6,15-25,25,10,4,3,38,0
8.571,15-25,25,7,4,3,30,0
1,15-25,25,7,4,3,30,1
1,15-25,25,8,5,3,11,0
2,15-25,25,9,5,1,22,1
3,35-45,45,12,4,4,8,0
4.285,15-25,25,10,5,3,38,1
8.571,15-25,25,14,4,3,16,1
3,15-25,25,8,4,3,12,0
12.857,15-25,25,7,4,4,29,0
26,15-25,25,10,4,3,38,1
12.587,15-25,25,7,4,3,30,1
8.571,15-25,25,7,4,3,29,0
12.587,35-45,45,8,4,4,11,0
8.571,15-25,25,6,3,3,2,0
3,35-45,45,8,5,3,3,0
0.535,35-45,45,9,5,4,22,0
12.587,35-45,45,10,5,4,14,0
4.285,15-25,25,6,3,3,10,0
52,45-55,55,9,4,3,17,0
3,15-25,25,8,4,3,11,1
5.285,25-35,35,8,4,3,3,0
8.571,45-55,55,7,5,3,30,0
8.571,45-55,55,7,4,3,29,0
8.571,15-25,25,7,4,3,30,0
12.587,15-25,25,8,4,3,12,1
0.0467,15-25,25,10,4,3,38,0
8.571,35-45,45,6,3,4,20,1
17.428,45-55,55,10,4,5,41,0
0.285,25-35,35,7,5,4,29,0
12.587,15-25,25,8,4,4,32,1
0.285,15-25,25,7,5,4,30,1
4.285,25-35,35,8,5,3,52,1
17.428,<15,15,7,3,1,49,0
17.428,15-25,25,14,4,3,16,1
26,45-55,55,10,2,4,41,1
8.571,15-25,25,9,3,3,22,1
17.428,25-35,35,6,2,4,10,0
12.587,15-25,25,8,3,3,13,0
17.428,15-25,25,9,2,3,17,1
21.428,35-45,45,8,3,3,33,0
1,15-25,25,5,4,3,31,1
0.285,15-25,25,8,3,4,32,1
26,15-25,25,8,5,3,3,1
2,15-25,25,12,3,4,55,1
0.142,15-25,25,17,4,3,28,1
12.857,25-35,35,6,2,3,20,0
17.142,15-25,25,8,4,4,12,0
4.285,15-25,25,8,4,3,12,1
21.428,15-25,25,8,3,4,3,0
12.857,15-25,25,6,4,2,2,0
25.714,15-25,25,8,3,2,3,0
4.285,15-25,25,8,4,2,11,1
8.571,15-25,25,7,5,3,30,0
4.285,15-25,25,7,3,3,29,1
12.857,15-25,25,10,4,2,38,0
12.857,25-35,35,7,4,3,30,0
4.285,35-45,45,15,5,3,46,0
26,25-35,35,7,5,4,29,1
1,45-55,55,8,4,4,19,0
12.857,35-45,45,6,5,4,20,0
0.142,35-45,45,8,3,4,11,0
2.857,35-45,45,8,3,4,3,1
52,15-25,25,7,4,3,29,0
4.285,25-35,35,8,5,4,3,0
4.285,35-45,45,8,4,4,3,0
0.714,15-25,25,14,4,3,16,1
14.285,15-25,25,7,3,3,29,0
2.857,25-35,35,5,3,3,50,0
14.285,35-45,45,8,4,4,3,1
12.857,45-55,55,9,4,5,26,1
1,15-25,25,9,4,3,22,0
3,45-55,55,8,4,4,12,0
3.571,35-45,45,8,4,3,12,0
21.428,15-25,25,12,4,3,8,1
2.857,35-45,45,8,4,3,32,1
2.857,25-35,35,7,3,3,49,0
2.142,45-55,55,8,4,4,12,0
12.857,25-35,35,8,4,3,3,0
25.714,15-25,25,8,3,3,32,1
2.857,35-45,45,10,5,3,38,0
2.857,25-35,35,7,5,4,30,0
6.428,15-25,25,9,4,1,6,1
4.285,15-25,25,14,4,3,16,1
1.428,25-35,35,10,4,3,38,0
8.571,15-25,25,14,5,3,16,0
0.285,15-25,25,8,5,3,40,0
1.428,25-35,35,8,5,3,3,1
2,35-45,45,8,5,4,3,0
2,15-25,25,8,4,3,40,1
1,35-45,45,10,4,4,23,0
4,45-55,55,10,4,4,43,1
12.857,15-25,25,6,4,3,37,1
4.285,45-55,55,7,3,3,29,1
17.142,15-25,25,10,4,4,23,0
8.571,15-25,25,7,2,3,30,1
12.857,15-25,25,6,4,4,2,1
2.142,35-45,45,7,3,3,49,0
12.857,15-25,25,6,3,3,15,0
26,35-45,45,9,3,4,35,1
7.142,45-55,55,6,2,4,34,0
4,35-45,45,10,5,4,38,1
26,15-25,25,14,4,3,16,1
8.571,25-35,35,8,5,4,3,0
0.714,45-55,55,17,3,4,28,0
4.571,35-45,45,10,4,4,38,0
0.0476,25-35,35,7,4,4,29,1
8.571,45-55,55,6,4,4,20,0
